dex_index,species_key,name,type1,type2,ability1,ability2,hp,attack,defense,sp_attack,sp_defense,speed,bst,catch_rate,gender_ratio,egg_group1,egg_group2,in_regional_dex,regional_dex_number,generation,keep,first_region_encountered,notes,count
375,SPECIES_METANG,Metang,Steel,Psychic,Clear Body,,60,75,100,55,80,50,420,3,255,Mineral,Mineral,FALSE,,3,No,,,1
376,SPECIES_METAGROSS,Metagross,Steel,Psychic,Clear Body,,80,135,130,95,90,70,600,3,255,Mineral,Mineral,FALSE,,3,No,,,1
377,SPECIES_REGIROCK,Regirock,Rock,,Clear Body,,80,100,200,50,100,50,580,3,255,Undiscovered,Undiscovered,FALSE,,3,,,,1
378,SPECIES_REGICE,Regice,Ice,,Clear Body,,80,50,100,100,200,50,580,3,255,Undiscovered,Undiscovered,FALSE,,3,,,,1
379,SPECIES_REGISTEEL,Registeel,Steel,,Clear Body,,80,75,150,75,150,50,580,3,255,Undiscovered,Undiscovered,FALSE,,3,,,,1
380,SPECIES_LATIAS,Latias,Dragon,Psychic,Levitate,,80,80,90,110,130,110,600,3,254,Undiscovered,Undiscovered,FALSE,,3,Maybe,,,1
381,SPECIES_LATIOS,Latios,Dragon,Psychic,Levitate,,80,90,80,130,110,110,600,3,0,Undiscovered,Undiscovered,FALSE,,3,Maybe,,,1
382,SPECIES_KYOGRE,Kyogre,Water,,Drizzle,,100,100,90,150,140,90,670,3,255,Undiscovered,Undiscovered,FALSE,,3,No,,,1
383,SPECIES_GROUDON,Groudon,Ground,,Drought,,100,150,140,100,90,90,670,3,255,Undiscovered,Undiscovered,FALSE,,3,No,,,1
384,SPECIES_RAYQUAZA,Rayquaza,Dragon,Flying,Air Lock,,105,150,90,150,90,95,680,45,255,Undiscovered,Undiscovered,FALSE,,3,No,,,1
385,SPECIES_JIRACHI,Jirachi,Steel,Psychic,Serene Grace,,100,100,100,100,100,100,600,3,255,Undiscovered,Undiscovered,FALSE,,3,Maybe,,,1
386,SPECIES_DEOXYS,Deoxys,Psychic,,Pressure,,50,150,50,150,50,150,600,3,255,Undiscovered,Undiscovered,FALSE,,3,No,,,1
387,SPECIES_TURTWIG,Turtwig,Grass,,Overgrow,,55,68,64,45,55,31,318,45,31,Monster,Grass,FALSE,,4,Maybe,,,1
388,SPECIES_GROTLE,Grotle,Grass,,Overgrow,,75,89,85,55,65,36,405,45,31,Monster,Grass,FALSE,,4,Maybe,,,1
389,SPECIES_TORTERRA,Torterra,Grass,Ground,Overgrow,,95,109,105,75,85,56,525,45,31,Monster,Grass,FALSE,,4,Maybe,,,1
390,SPECIES_CHIMCHAR,Chimchar,Fire,,Blaze,,44,58,44,58,44,61,309,45,31,Field,Human Like,FALSE,,4,Maybe,,,1
391,SPECIES_MONFERNO,Monferno,Fire,Fighting,Blaze,,64,78,52,78,52,81,405,45,31,Field,Human Like,FALSE,,4,Maybe,,,1
392,SPECIES_INFERNAPE,Infernape,Fire,Fighting,Blaze,,76,104,71,104,71,108,534,45,31,Field,Human Like,FALSE,,4,Maybe,,,1
393,SPECIES_PIPLUP,Piplup,Water,,Torrent,,53,51,53,61,56,40,314,45,31,Water 1,Field,FALSE,,4,Maybe,,,1
394,SPECIES_PRINPLUP,Prinplup,Water,,Torrent,,64,66,68,81,76,50,405,45,31,Water 1,Field,FALSE,,4,Maybe,,,1
395,SPECIES_EMPOLEON,Empoleon,Water,Steel,Torrent,,84,86,88,111,101,60,530,45,31,Water 1,Field,FALSE,,4,Maybe,,,1
396,SPECIES_STARLY,Starly,Normal,Flying,Keen Eye,,40,55,30,30,30,60,245,255,127,Flying,Flying,FALSE,,4,,,,1
397,SPECIES_STARAVIA,Staravia,Normal,Flying,Intimidate,,55,75,50,40,40,80,340,120,127,Flying,Flying,FALSE,,4,,,,1
398,SPECIES_STARAPTOR,Staraptor,Normal,Flying,Intimidate,,85,120,70,50,60,100,485,45,127,Flying,Flying,FALSE,,4,,,,1
399,SPECIES_BIDOOF,Bidoof,Normal,,Simple,Unaware,59,45,40,35,40,31,250,255,127,Water 1,Field,FALSE,,4,,,,1
400,SPECIES_BIBAREL,Bibarel,Normal,Water,Simple,Unaware,79,85,60,55,60,71,410,127,127,Water 1,Field,FALSE,,4,,,,1
401,SPECIES_KRICKETOT,Kricketot,Bug,,Shed Skin,,37,25,41,25,41,25,194,255,127,Bug,Bug,FALSE,,4,,,,1
402,SPECIES_KRICKETUNE,Kricketune,Bug,,Swarm,,77,85,51,55,51,65,384,45,127,Bug,Bug,FALSE,,4,,,,1
403,SPECIES_SHINX,Shinx,Electric,,Rivalry,Intimidate,45,65,34,40,34,45,263,235,127,Field,Field,FALSE,,4,Yes,,,1
404,SPECIES_LUXIO,Luxio,Electric,,Rivalry,Intimidate,60,85,49,60,49,60,363,120,127,Field,Field,FALSE,,4,Yes,,,1
405,SPECIES_LUXRAY,Luxray,Electric,,Rivalry,Intimidate,80,120,79,95,79,70,523,45,127,Field,Field,FALSE,,4,Yes,,,1
406,SPECIES_BUDEW,Budew,Grass,Poison,Natural Cure,Poison Point,40,30,35,50,70,55,280,255,127,Undiscovered,Undiscovered,FALSE,,4,,,,1
407,SPECIES_ROSERADE,Roserade,Grass,Poison,Natural Cure,Poison Point,60,70,65,125,105,90,515,75,127,Fairy,Grass,FALSE,,4,,,,1
408,SPECIES_CRANIDOS,Cranidos,Rock,,Mold Breaker,,67,125,40,30,30,58,350,45,31,Monster,Monster,FALSE,,4,,,,1
409,SPECIES_RAMPARDOS,Rampardos,Rock,,Mold Breaker,,97,165,60,65,50,58,495,45,31,Monster,Monster,FALSE,,4,,,,1
410,SPECIES_SHIELDON,Shieldon,Rock,Steel,Sturdy,,30,42,118,42,88,30,350,45,31,Monster,Monster,FALSE,,4,,,,1
411,SPECIES_BASTIODON,Bastiodon,Rock,Steel,Sturdy,,60,52,168,47,138,30,495,45,31,Monster,Monster,FALSE,,4,,,,1
412,SPECIES_BURMY,Burmy,Bug,,Shed Skin,,40,29,45,29,45,36,224,120,127,Bug,Bug,FALSE,,4,,,,1
413,SPECIES_WORMADAM,Wormadam,Bug,Grass,Anticipation,,60,59,85,79,105,36,424,45,254,Bug,Bug,FALSE,,4,,,,1
414,SPECIES_MOTHIM,Mothim,Bug,Flying,Swarm,,70,94,50,94,50,66,424,45,0,Bug,Bug,FALSE,,4,,,,1
415,SPECIES_COMBEE,Combee,Bug,Flying,Honey Gather,,30,30,42,30,42,70,244,120,31,Bug,Bug,FALSE,,4,,,,1
416,SPECIES_VESPIQUEN,Vespiquen,Bug,Flying,Pressure,,70,80,102,80,102,40,474,45,254,Bug,Bug,FALSE,,4,,,,1
417,SPECIES_PACHIRISU,Pachirisu,Electric,,Run Away,Pickup,60,45,70,45,90,95,405,200,127,Field,Fairy,FALSE,,4,,,,1
418,SPECIES_BUIZEL,Buizel,Water,,Swift Swim,,55,65,35,60,30,85,330,190,127,Water 1,Field,FALSE,,4,,,,1
419,SPECIES_FLOATZEL,Floatzel,Water,,Swift Swim,,85,105,55,85,50,115,495,75,127,Water 1,Field,FALSE,,4,,,,1
420,SPECIES_CHERUBI,Cherubi,Grass,,Chlorophyll,,45,35,45,62,53,35,275,190,127,Fairy,Grass,FALSE,,4,,,,1
421,SPECIES_CHERRIM,Cherrim,Grass,,Flower Gift,,70,60,70,87,78,85,450,75,127,Fairy,Grass,FALSE,,4,,,,1
422,SPECIES_SHELLOS,Shellos,Water,,Sticky Hold,Storm Drain,76,48,48,57,62,34,325,190,127,Water 1,Amorphous,FALSE,,4,,,,1
423,SPECIES_GASTRODON,Gastrodon,Water,Ground,Sticky Hold,Storm Drain,111,83,68,92,82,39,475,75,127,Water 1,Amorphous,FALSE,,4,,,,1
424,SPECIES_AMBIPOM,Ambipom,Normal,,Technician,Pickup,75,100,66,60,66,115,482,45,127,Field,Field,TRUE,124,4,Yes,,,1
425,SPECIES_DRIFLOON,Drifloon,Ghost,Flying,Aftermath,Unburden,90,50,34,60,44,70,348,125,127,Amorphous,Amorphous,FALSE,,4,Yes,,,1
426,SPECIES_DRIFBLIM,Drifblim,Ghost,Flying,Aftermath,Unburden,150,80,44,90,54,80,498,60,127,Amorphous,Amorphous,FALSE,,4,Yes,,,1
427,SPECIES_BUNEARY,Buneary,Normal,,Run Away,Klutz,55,66,44,44,56,85,350,190,127,Field,Human Like,FALSE,,4,,,,1
428,SPECIES_LOPUNNY,Lopunny,Normal,,Cute Charm,Klutz,65,76,84,54,96,105,480,60,127,Field,Human Like,FALSE,,4,,,,1
429,SPECIES_MISMAGIUS,Mismagius,Ghost,,Levitate,,60,60,60,105,105,105,495,45,127,Amorphous,Amorphous,FALSE,,4,Yes,,,1
430,SPECIES_HONCHKROW,Honchkrow,Dark,Flying,Insomnia,Super Luck,100,125,52,105,52,71,505,30,127,Flying,Flying,FALSE,,4,Yes,,,1
431,SPECIES_GLAMEOW,Glameow,Normal,,Limber,Own Tempo,49,55,42,42,37,85,310,190,190,Field,Field,FALSE,,4,Yes,,,1
432,SPECIES_PURUGLY,Purugly,Normal,,Thick Fat,Own Tempo,71,82,64,64,59,112,452,75,190,Field,Field,FALSE,,4,Yes,,,1
433,SPECIES_CHINGLING,Chingling,Psychic,,Levitate,,45,30,50,65,50,45,285,120,127,Undiscovered,Undiscovered,FALSE,,4,,,,1
434,SPECIES_STUNKY,Stunky,Poison,Dark,Stench,Aftermath,63,63,47,41,41,74,329,225,127,Field,Field,FALSE,,4,,,,1
435,SPECIES_SKUNTANK,Skuntank,Poison,Dark,Stench,Aftermath,103,93,67,71,61,84,479,60,127,Field,Field,FALSE,,4,,,,1
436,SPECIES_BRONZOR,Bronzor,Steel,Psychic,Levitate,Heatproof,57,24,86,24,86,23,300,255,255,Mineral,Mineral,FALSE,,4,,,,1
437,SPECIES_BRONZONG,Bronzong,Steel,Psychic,Levitate,Heatproof,67,89,116,79,116,33,500,90,255,Mineral,Mineral,FALSE,,4,,,,1
438,SPECIES_BONSLY,Bonsly,Rock,,Sturdy,Rock Head,50,80,95,10,45,10,290,255,127,Undiscovered,Undiscovered,FALSE,,4,Yes,,,1
439,SPECIES_MIME_JR,Mime Jr.,Psychic,Fairy,Soundproof,Filter,20,25,45,70,90,60,310,145,127,Undiscovered,Undiscovered,FALSE,,4,Yes,,,1
440,SPECIES_HAPPINY,Happiny,Normal,,Natural Cure,Serene Grace,100,5,5,15,65,30,220,130,254,Undiscovered,Undiscovered,FALSE,,4,Yes,,,1
441,SPECIES_CHATOT,Chatot,Normal,Flying,Keen Eye,Tangled Feet,76,65,45,92,42,91,411,30,127,Flying,Flying,FALSE,,4,,,,1
442,SPECIES_SPIRITOMB,Spiritomb,Ghost,Dark,Pressure,,50,92,108,92,108,35,485,100,127,Amorphous,Amorphous,FALSE,,4,,,,1
443,SPECIES_GIBLE,Gible,Dragon,Ground,Sand Veil,,58,70,45,40,45,42,300,45,127,Monster,Dragon,FALSE,,4,Yes,,,1
444,SPECIES_GABITE,Gabite,Dragon,Ground,Sand Veil,,68,90,65,50,55,82,410,45,127,Monster,Dragon,FALSE,,4,Yes,,,1
445,SPECIES_GARCHOMP,Garchomp,Dragon,Ground,Sand Veil,,108,130,95,80,85,102,600,45,127,Monster,Dragon,FALSE,,4,Yes,,,1
446,SPECIES_MUNCHLAX,Munchlax,Normal,,Pickup,Thick Fat,135,85,40,40,85,5,390,50,31,Undiscovered,Undiscovered,FALSE,,4,Yes,,,1
447,SPECIES_RIOLU,Riolu,Fighting,,Steadfast,Inner Focus,40,70,40,35,40,60,285,75,31,Undiscovered,Undiscovered,FALSE,,4,Yes,,,1
448,SPECIES_LUCARIO,Lucario,Fighting,Steel,Steadfast,Inner Focus,70,110,70,115,70,90,525,45,31,Field,Human Like,FALSE,,4,Yes,,,1
449,SPECIES_HIPPOPOTAS,Hippopotas,Ground,,Sand Stream,,68,72,78,38,42,32,330,140,127,Field,Field,FALSE,,4,No,,,1
450,SPECIES_HIPPOWDON,Hippowdon,Ground,,Sand Stream,,108,112,118,68,72,47,525,60,127,Field,Field,FALSE,,4,No,,,1
451,SPECIES_SKORUPI,Skorupi,Poison,Bug,Battle Armor,Sniper,40,50,90,30,55,65,330,120,127,Bug,Water 3,FALSE,,4,,,,1
452,SPECIES_DRAPION,Drapion,Poison,Dark,Battle Armor,Sniper,70,90,110,60,75,95,500,45,127,Bug,Water 3,FALSE,,4,,,,1
453,SPECIES_CROAGUNK,Croagunk,Poison,Fighting,Anticipation,Dry Skin,48,61,40,61,40,50,300,140,127,Human Like,Human Like,FALSE,,4,Yes,,,1
454,SPECIES_TOXICROAK,Toxicroak,Poison,Fighting,Anticipation,Dry Skin,83,106,65,86,65,85,490,75,127,Human Like,Human Like,FALSE,,4,Yes,,,1
455,SPECIES_CARNIVINE,Carnivine,Grass,,Levitate,,74,100,72,90,72,46,454,200,127,Grass,Grass,FALSE,,4,,,,1
456,SPECIES_FINNEON,Finneon,Water,,Swift Swim,Storm Drain,49,49,56,49,61,66,330,190,127,Water 2,Water 2,FALSE,,4,,,,1
457,SPECIES_LUMINEON,Lumineon,Water,,Swift Swim,Storm Drain,69,69,76,69,86,91,460,75,127,Water 2,Water 2,FALSE,,4,,,,1
458,SPECIES_MANTYKE,Mantyke,Water,Flying,Swift Swim,Water Absorb,45,20,50,60,120,50,345,25,127,Undiscovered,Undiscovered,FALSE,,4,Yes,,,1
459,SPECIES_SNOVER,Snover,Grass,Ice,Snow Warning,,60,62,50,62,60,40,334,120,127,Monster,Grass,FALSE,,4,Yes,,,1
460,SPECIES_ABOMASNOW,Abomasnow,Grass,Ice,Snow Warning,,90,92,75,92,85,60,494,60,127,Monster,Grass,FALSE,,4,Yes,,,1
461,SPECIES_WEAVILE,Weavile,Dark,Ice,Pressure,,70,120,65,45,85,125,510,45,127,Field,Field,FALSE,,4,Yes,,,1
462,SPECIES_MAGNEZONE,Magnezone,Electric,Steel,Magnet Pull,Sturdy,70,70,115,130,90,60,535,30,255,Mineral,Mineral,FALSE,,4,Yes,,,1
463,SPECIES_LICKILICKY,Lickilicky,Normal,,Own Tempo,Oblivious,110,85,95,80,95,50,515,30,127,Monster,Monster,TRUE,181,4,Yes,Johto,,1
464,SPECIES_RHYPERIOR,Rhyperior,Ground,Rock,Lightning Rod,Solid Rock,115,140,130,55,55,40,535,30,127,Monster,Field,FALSE,,4,Yes,,,1
465,SPECIES_TANGROWTH,Tangrowth,Grass,,Chlorophyll,Leaf Guard,100,100,125,110,50,50,535,30,127,Grass,Grass,TRUE,183,4,Yes,Johto,,1
466,SPECIES_ELECTIVIRE,Electivire,Electric,,Motor Drive,,75,123,67,95,85,95,540,30,63,Human Like,Human Like,FALSE,,4,Yes,,,1
467,SPECIES_MAGMORTAR,Magmortar,Fire,,Flame Body,,75,95,67,125,95,83,540,30,63,Human Like,Human Like,FALSE,,4,Yes,,,1
468,SPECIES_TOGEKISS,Togekiss,Fairy,Flying,Hustle,Serene Grace,85,50,95,120,115,80,545,30,31,Flying,Fairy,FALSE,,4,Yes,Johto,,1
469,SPECIES_YANMEGA,Yanmega,Bug,Flying,Speed Boost,Tinted Lens,86,76,86,116,56,95,515,30,127,Bug,Bug,TRUE,102,4,Yes,Johto,,1
470,SPECIES_LEAFEON,Leafeon,Grass,,Leaf Guard,,65,110,130,60,65,95,525,45,31,Field,Field,FALSE,,4,Yes,,,1
471,SPECIES_GLACEON,Glaceon,Ice,,Snow Cloak,,65,60,110,130,95,65,525,45,31,Field,Field,FALSE,,4,Yes,,,1
472,SPECIES_GLISCOR,Gliscor,Ground,Flying,Hyper Cutter,Sand Veil,75,95,125,45,75,95,510,30,127,Bug,Bug,FALSE,,4,Yes,,,1
473,SPECIES_MAMOSWINE,Mamoswine,Ice,Ground,Oblivious,Snow Cloak,110,130,80,70,60,80,530,50,127,Field,Field,TRUE,197,4,Yes,Johto,,1
474,SPECIES_PORYGON_Z,Porygon-Z,Normal,,Adaptability,Download,85,80,70,135,75,90,535,30,255,Mineral,Mineral,FALSE,,4,Yes,,,1
475,SPECIES_GALLADE,Gallade,Psychic,Fighting,Steadfast,Sharpness,68,125,65,65,115,80,518,45,0,Human Like,Amorphous,FALSE,,4,No,,,1
476,SPECIES_PROBOPASS,Probopass,Rock,Steel,Sturdy,Magnet Pull,60,55,145,75,150,40,525,60,127,Mineral,Mineral,FALSE,,4,,,,1
477,SPECIES_DUSKNOIR,Dusknoir,Ghost,,Pressure,,45,100,135,65,135,45,525,45,127,Amorphous,Amorphous,FALSE,,4,,,,1
478,SPECIES_FROSLASS,Froslass,Ice,Ghost,Snow Cloak,,70,80,70,80,70,110,480,75,254,Fairy,Mineral,FALSE,,4,YEs,,,1
479,SPECIES_ROTOM,Rotom,Electric,Ghost,Levitate,,50,50,77,95,77,91,440,45,255,Amorphous,Amorphous,FALSE,,4,Yes,,,1
480,SPECIES_UXIE,Uxie,Psychic,,Levitate,,75,75,130,75,130,95,580,3,255,Undiscovered,Undiscovered,FALSE,,4,Yes,,,1
481,SPECIES_MESPRIT,Mesprit,Psychic,,Levitate,,80,105,105,105,105,80,580,3,255,Undiscovered,Undiscovered,FALSE,,4,Yes,,,1
482,SPECIES_AZELF,Azelf,Psychic,,Levitate,,75,125,70,125,70,115,580,3,255,Undiscovered,Undiscovered,FALSE,,4,Yes,,,1
483,SPECIES_DIALGA,Dialga,Steel,Dragon,Pressure,,100,120,120,150,100,90,680,3,255,Undiscovered,Undiscovered,FALSE,,4,,,,1
484,SPECIES_PALKIA,Palkia,Water,Dragon,Pressure,,90,120,100,150,120,100,680,3,255,Undiscovered,Undiscovered,FALSE,,4,,,,1
485,SPECIES_HEATRAN,Heatran,Fire,Steel,Flash Fire,,91,90,106,130,106,77,600,3,127,Undiscovered,Undiscovered,FALSE,,4,,,,1
486,SPECIES_REGIGIGAS,Regigigas,Normal,,Slow Start,,110,160,110,80,110,100,670,3,255,Undiscovered,Undiscovered,FALSE,,4,,,,1
487,SPECIES_GIRATINA,Giratina,Ghost,Dragon,Pressure,,150,100,120,100,120,90,680,3,255,Undiscovered,Undiscovered,FALSE,,4,,,,1
488,SPECIES_CRESSELIA,Cresselia,Psychic,,Levitate,,120,70,110,75,120,85,580,3,254,Undiscovered,Undiscovered,FALSE,,4,Maybe,,,1
489,SPECIES_PHIONE,Phione,Water,,Hydration,,80,80,80,80,80,80,480,30,255,Water 1,Fairy,FALSE,,4,Maybe,,,1
490,SPECIES_MANAPHY,Manaphy,Water,,Hydration,,100,100,100,100,100,100,600,3,255,Water 1,Fairy,FALSE,,4,Maybe,,,1
491,SPECIES_DARKRAI,Darkrai,Dark,,Bad Dreams,,70,90,90,135,90,125,600,3,255,Undiscovered,Undiscovered,FALSE,,4,,,,1
492,SPECIES_SHAYMIN,Shaymin,Grass,,Natural Cure,,100,100,100,100,100,100,600,45,255,Undiscovered,Undiscovered,FALSE,,4,,,,1
493,SPECIES_ARCEUS,Arceus,Normal,,Multitype,,120,120,120,120,120,120,720,3,255,Undiscovered,Undiscovered,FALSE,,4,,,,1
494,SPECIES_EGG,Egg,Normal,,,,10,10,10,10,10,10,60,3,255,Undiscovered,Undiscovered,FALSE,,,,,,1
495,SPECIES_BAD_EGG,Bad Egg,Normal,,,,10,10,10,10,10,10,60,3,255,Undiscovered,Undiscovered,FALSE,,,,,,1
496,SPECIES_496,496,Psychic,,Pressure,,50,180,20,180,20,150,600,3,255,Undiscovered,Undiscovered,FALSE,,5,No,,,1
497,SPECIES_497,497,Psychic,,Pressure,,50,70,160,70,160,90,600,3,255,Undiscovered,Undiscovered,FALSE,,5,No,,,1
498,SPECIES_498,498,Psychic,,Pressure,,50,95,90,95,90,180,600,3,255,Undiscovered,Undiscovered,FALSE,,5,No,,,1
499,SPECIES_499,499,Bug,Ground,Anticipation,,60,79,105,59,85,36,424,45,254,Bug,Bug,FALSE,,5,No,,,1
500,SPECIES_500,500,Bug,Steel,Anticipation,,60,69,95,69,95,36,424,45,254,Bug,Bug,FALSE,,5,No,,,1
501,SPECIES_501,501,Ghost,Dragon,Levitate,,150,120,100,120,100,90,680,3,255,Undiscovered,Undiscovered,FALSE,,5,No,,,1
502,SPECIES_502,502,Grass,Flying,Serene Grace,,100,103,75,120,75,127,600,45,255,Undiscovered,Undiscovered,FALSE,,5,No,,,1
503,SPECIES_503,503,Electric,Fire,Levitate,,50,65,107,105,107,86,520,45,255,Amorphous,Amorphous,FALSE,,5,No,,,1
504,SPECIES_504,504,Electric,Water,Levitate,,50,65,107,105,107,86,520,45,255,Amorphous,Amorphous,FALSE,,5,No,,,1
505,SPECIES_505,505,Electric,Ice,Levitate,,50,65,107,105,107,86,520,45,255,Amorphous,Amorphous,FALSE,,5,No,,,1
506,SPECIES_506,506,Electric,Flying,Levitate,,50,65,107,105,107,86,520,45,255,Amorphous,Amorphous,FALSE,,5,No,,,1
507,SPECIES_507,507,Electric,Grass,Levitate,,50,65,107,105,107,86,520,45,255,Amorphous,Amorphous,FALSE,,5,No,,,1
508,SPECIES_508,508,Normal,,,,0,0,0,0,0,0,0,0,0,,,FALSE,,5,No,,,1
509,SPECIES_509,509,Normal,,,,0,0,0,0,0,0,0,0,0,,,FALSE,,5,No,,,1
510,SPECIES_510,510,Normal,,,,0,0,0,0,0,0,0,0,0,,,FALSE,,5,No,,,1
511,SPECIES_511,511,Normal,,,,0,0,0,0,0,0,0,0,0,,,FALSE,,5,No,,,1
512,SPECIES_512,512,Normal,,,,0,0,0,0,0,0,0,0,0,,,FALSE,,5,No,,,1
513,SPECIES_513,513,Normal,,,,0,0,0,0,0,0,0,0,0,,,FALSE,,5,No,,,1
514,SPECIES_514,514,Normal,,,,0,0,0,0,0,0,0,0,0,,,FALSE,,5,No,,,1
515,SPECIES_515,515,Normal,,,,0,0,0,0,0,0,0,0,0,,,FALSE,,5,No,,,1
516,SPECIES_516,516,Normal,,,,0,0,0,0,0,0,0,0,0,,,FALSE,,5,No,,,1
517,SPECIES_517,517,Normal,,,,0,0,0,0,0,0,0,0,0,,,FALSE,,5,No,,,1
518,SPECIES_518,518,Normal,,,,0,0,0,0,0,0,0,0,0,,,FALSE,,5,No,,,1
519,SPECIES_519,519,Normal,,,,0,0,0,0,0,0,0,0,0,,,FALSE,,5,No,,,1
520,SPECIES_520,520,Normal,,,,0,0,0,0,0,0,0,0,0,,,FALSE,,5,No,,,1
521,SPECIES_521,521,Normal,,,,0,0,0,0,0,0,0,0,0,,,FALSE,,5,No,,,1
522,SPECIES_522,522,Normal,,,,0,0,0,0,0,0,0,0,0,,,FALSE,,5,No,,,1
523,SPECIES_523,523,Normal,,,,0,0,0,0,0,0,0,0,0,,,FALSE,,5,No,,,1
524,SPECIES_524,524,Normal,,,,0,0,0,0,0,0,0,0,0,,,FALSE,,5,No,,,1
525,SPECIES_525,525,Normal,,,,0,0,0,0,0,0,0,0,0,,,FALSE,,5,No,,,1
526,SPECIES_526,526,Normal,,,,0,0,0,0,0,0,0,0,0,,,FALSE,,5,No,,,1
527,SPECIES_527,527,Normal,,,,0,0,0,0,0,0,0,0,0,,,FALSE,,5,No,,,1
528,SPECIES_528,528,Normal,,,,0,0,0,0,0,0,0,0,0,,,FALSE,,5,No,,,1
529,SPECIES_529,529,Normal,,,,0,0,0,0,0,0,0,0,0,,,FALSE,,5,No,,,1
530,SPECIES_530,530,Normal,,,,0,0,0,0,0,0,0,0,0,,,FALSE,,5,No,,,1
531,SPECIES_531,531,Normal,,,,0,0,0,0,0,0,0,0,0,,,FALSE,,5,No,,,1
532,SPECIES_532,532,Normal,,,,0,0,0,0,0,0,0,0,0,,,FALSE,,5,No,,,1
533,SPECIES_533,533,Normal,,,,0,0,0,0,0,0,0,0,0,,,FALSE,,5,No,,,1
534,SPECIES_534,534,Normal,,,,0,0,0,0,0,0,0,0,0,,,FALSE,,5,No,,,1
535,SPECIES_535,535,Normal,,,,0,0,0,0,0,0,0,0,0,,,FALSE,,5,No,,,1
536,SPECIES_536,536,Normal,,,,0,0,0,0,0,0,0,0,0,,,FALSE,,5,No,,,1
537,SPECIES_537,537,Normal,,,,0,0,0,0,0,0,0,0,0,,,FALSE,,5,No,,,1
538,SPECIES_538,538,Normal,,,,0,0,0,0,0,0,0,0,0,,,FALSE,,5,No,,,1
539,SPECIES_539,539,Normal,,,,0,0,0,0,0,0,0,0,0,,,FALSE,,5,No,,,1
540,SPECIES_540,540,Normal,,,,0,0,0,0,0,0,0,0,0,,,FALSE,,5,No,,,1
541,SPECIES_541,541,Normal,,,,0,0,0,0,0,0,0,0,0,,,FALSE,,5,No,,,1
542,SPECIES_542,542,Normal,,,,0,0,0,0,0,0,0,0,0,,,FALSE,,5,No,,,1
543,SPECIES_543,543,Normal,,,,0,0,0,0,0,0,0,0,0,,,FALSE,,5,No,,,1
544,SPECIES_VICTINI,Victini,Psychic,Fire,Victory Star,,100,100,100,100,100,100,600,3,255,Undiscovered,Undiscovered,FALSE,,5,Yes,,,1
545,SPECIES_SNIVY,Snivy,Grass,,Overgrow,,45,45,55,45,55,63,308,45,31,Field,Grass,FALSE,,5,Maybe,,,1
546,SPECIES_SERVINE,Servine,Grass,,Overgrow,,60,60,75,60,75,83,413,45,31,Field,Grass,FALSE,,5,Maybe,,,1
547,SPECIES_SERPERIOR,Serperior,Grass,,Overgrow,,75,75,95,75,95,113,528,45,31,Field,Grass,FALSE,,5,Maybe,,,1
548,SPECIES_TEPIG,Tepig,Fire,,Blaze,,65,63,45,45,45,45,308,45,31,Field,Field,FALSE,,5,Maybe,,,1
549,SPECIES_PIGNITE,Pignite,Fire,Fighting,Blaze,,90,93,55,70,55,55,418,45,31,Field,Field,FALSE,,5,Maybe,,,1
550,SPECIES_EMBOAR,Emboar,Fire,Fighting,Blaze,,110,123,65,100,65,65,528,45,31,Field,Field,FALSE,,5,Maybe,,,1
551,SPECIES_OSHAWOTT,Oshawott,Water,,Torrent,,55,55,45,63,45,45,308,45,31,Field,Field,FALSE,,5,Maybe,,,1
552,SPECIES_DEWOTT,Dewott,Water,,Torrent,,75,75,60,83,60,60,413,45,31,Field,Field,FALSE,,5,Maybe,,,1
553,SPECIES_SAMUROTT,Samurott,Water,,Torrent,,95,100,85,108,70,70,528,45,31,Field,Field,FALSE,,5,Maybe,,,1
554,SPECIES_PATRAT,Patrat,Normal,,Run Away,Keen Eye,45,55,39,35,39,42,255,255,127,Field,Field,FALSE,,5,,,,1
555,SPECIES_WATCHOG,Watchog,Normal,,Illuminate,Keen Eye,60,85,69,60,69,77,420,255,127,Field,Field,FALSE,,5,,,,1
556,SPECIES_LILLIPUP,Lillipup,Normal,,Vital Spirit,Pickup,45,60,45,25,45,55,275,255,127,Field,Field,FALSE,,5,,,,1
557,SPECIES_HERDIER,Herdier,Normal,,Intimidate,Sand Rush,65,80,65,35,65,60,370,120,127,Field,Field,FALSE,,5,,,,1
558,SPECIES_STOUTLAND,Stoutland,Normal,,Intimidate,Sand Rush,85,110,90,45,90,80,500,45,127,Field,Field,FALSE,,5,,,,1
559,SPECIES_PURRLOIN,Purrloin,Dark,,Limber,Unburden,41,50,37,50,37,66,281,255,127,Field,Field,FALSE,,5,,,,1
560,SPECIES_LIEPARD,Liepard,Dark,,Limber,Unburden,64,88,50,88,50,106,446,90,127,Field,Field,FALSE,,5,,,,1
561,SPECIES_PANSAGE,Pansage,Grass,,Gluttony,,50,53,48,53,48,64,316,190,31,Field,Field,FALSE,,5,,,,1
562,SPECIES_SIMISAGE,Simisage,Grass,,Gluttony,,75,98,63,98,63,101,498,75,31,Field,Field,FALSE,,5,,,,1
563,SPECIES_PANSEAR,Pansear,Fire,,Gluttony,,50,53,48,53,48,64,316,190,31,Field,Field,FALSE,,5,,,,1
564,SPECIES_SIMISEAR,Simisear,Fire,,Gluttony,,75,98,63,98,63,101,498,75,31,Field,Field,FALSE,,5,,,,1
